Metric,Current,Target,Status,Impact,Recommendation
LCP,2.8s,<2.5s,Needs Improvement,High,Add priority to hero images
FID,85ms,<100ms,Good,Low,Monitor for degradation
CLS,0.05,<0.1,Good,Low,Maintain current practices
INP,120ms,<200ms,Good,Medium,Continue monitoring
Bundle Size,1.18MB,<1MB,Needs Improvement,High,Implement code splitting
First Contentful Paint,1.2s,<1.8s,Good,Medium,Optimize critical CSS
Time to Interactive,2.1s,<3.8s,Good,Low,Monitor bundle growth
Cumulative Layout Shift,0.05,<0.1,Good,Low,Maintain image dimensions
Speed Index,1.8s,<3.4s,Good,Medium,Continue optimization
Total Blocking Time,150ms,<200ms,Good,Low,Monitor third-party scripts